supplier,sku,product_name,stage,reason,disposition,detail,action_id,source_row,col_printed,value_used
JL Tile,TIL-JLTI-N612002,Elegant Collection — Ariosa Snow 10mm — 24 x 48 (Polished),extract,spec_gap,wrote_flagged,"No price printed on the sheet — marked Discontinued/blank. Cost/unit and Retail price/unit left blank; Stock status set Discontinued, Active FALSE.",,1,,
JL Tile,TIL-JLTI-N612005,Elegant Collection — Ariosa Platinum Thin Wall Tile — 24 x 48 (Polished),extract,spec_gap,wrote_flagged,"No price printed on the sheet — marked Discontinued/blank. Cost/unit and Retail price/unit left blank; Stock status set Discontinued, Active FALSE.",,1,,
JL Tile,TIL-JLTI-N612008,Ariosa Marble 10mm (24 x 48),extract,ambiguous_naming,wrote_flagged,Sheet also prints 'BPCK1278' for this SKU (kept 'N612008' as the primary code).,,1,,
JL Tile,TIL-JLTI-BPCK128803,Onex Cream (24 x 48),extract,ambiguous_naming,wrote_flagged,Sheet also prints 'LU3-612GS' for this SKU (kept 'BPCK128803' as the primary code).,,1,,
JL Tile,TIL-JLTI-BPCK1294,Simcoe Dandelion (24 x 48),extract,ambiguous_naming,wrote_flagged,"Sheet suffixes this code '(A/B)' — likely a shade/batch marker, not an alternate code.",,1,,
JL Tile,TIL-JLTI-BPCK1294,Elegant Collection — Simcoe Dandelion — 24 x 48 (Polished),extract,spec_gap,wrote_flagged,"No price printed on the sheet — marked Discontinued/blank. Cost/unit and Retail price/unit left blank; Stock status set Discontinued, Active FALSE.",,1,,
JL Tile,TIL-JLTI-BPCK991,Elegant Collection — Vesta Bianco — 36 x 36 (Polished),extract,spec_gap,wrote_flagged,"No price printed on the sheet — marked Discontinued/blank. Cost/unit and Retail price/unit left blank; Stock status set Discontinued, Active FALSE.",,1,,
JL Tile,TIL-JLTI-BPCK993,Elegant Collection — Vesta Gris — 36 x 36 (Polished),extract,spec_gap,wrote_flagged,"No price printed on the sheet — marked Discontinued/blank. Cost/unit and Retail price/unit left blank; Stock status set Discontinued, Active FALSE.",,1,,
JL Tile,TIL-JLTI-0003,Panda White Matte (24 x 48),extract,sku_missing,wrote_flagged,"Sheet printed no real code (cell read 'Panda White Matte'). Sequential SKU minted instead, Supplier SKU left blank per policy (never invent a code).",,1,,
JL Tile,TIL-JLTI-LX12639,Elegant Collection — Luxor Grey Matte — 24 x 48 (Matte),extract,spec_gap,wrote_flagged,"No price printed on the sheet — marked Discontinued/blank. Cost/unit and Retail price/unit left blank; Stock status set Discontinued, Active FALSE.",,1,,
JL Tile,TIL-JLTI-TE12608,Elegant Collection — Camellia Spring — 24 x 48 (Matte),extract,spec_gap,wrote_flagged,"No price printed on the sheet — marked Discontinued/blank. Cost/unit and Retail price/unit left blank; Stock status set Discontinued, Active FALSE.",,1,,
JL Tile,TIL-JLTI-TE12690P,Elegant Collection — Iceberg White Lappato — 24 x 48 (Matte),extract,spec_gap,wrote_flagged,"No price printed on the sheet — marked Discontinued/blank. Cost/unit and Retail price/unit left blank; Stock status set Discontinued, Active FALSE.",,1,,
JL Tile,TIL-JLTI-IS3902,Isabella 3D Collection — Isabella Symphonie 3D — 12 x 36,extract,spec_gap,wrote_flagged,"No price printed on the sheet — marked Discontinued/blank. Cost/unit and Retail price/unit left blank; Stock status set Discontinued, Active FALSE.",,1,,
JL Tile,TIL-JLTI-IS3904,Isabella 3D Collection — Isabella Illusion 3D — 12 x 36,extract,spec_gap,wrote_flagged,"No price printed on the sheet — marked Discontinued/blank. Cost/unit and Retail price/unit left blank; Stock status set Discontinued, Active FALSE.",,1,,
JL Tile,TIL-JLTI-IS3905,Isabella 3D Collection — Isabella Sand River 3D — 12 x 36,extract,spec_gap,wrote_flagged,"No price printed on the sheet — marked Discontinued/blank. Cost/unit and Retail price/unit left blank; Stock status set Discontinued, Active FALSE.",,1,,
