supplier,sku,product_name,stage,reason,disposition,detail,action_id,source_row,col_printed,value_used,Action
TRIFOREST,LVP-TRIF-TFSPC610-F,"Toucan SPC6 Vinyl — Athens (9.0"" x 5.5+1.5mm)",extract,spec_gap,wrote_flagged,"Oct 2026 list prints 6.5+1.5mm (8mm total, matching the series header) — this resolves the June-list thickness discrepancy in Salesperson notes, and implies an attached pad (Underpad included is blank live; the note says none mentioned). Product name still reads the June dimension. The sync writes only name/SKU/category/price/stock/promo on an update, so this spec change is in the upload CSV but will NOT reach Airtable unless a person applies it.",,93,,,
TRIFOREST,LVP-TRIF-TFSPC611-F,"Toucan SPC6 Vinyl — Vienna (9.0"" x 5.5+1.5mm)",extract,spec_gap,wrote_flagged,"Oct 2026 list prints 6.5+1.5mm (8mm total, matching the series header) — this resolves the June-list thickness discrepancy in Salesperson notes, and implies an attached pad (Underpad included is blank live; the note says none mentioned). Product name still reads the June dimension. The sync writes only name/SKU/category/price/stock/promo on an update, so this spec change is in the upload CSV but will NOT reach Airtable unless a person applies it.",,94,,,
TRIFOREST,LVP-TRIF-TFSPC612-F,"Toucan SPC6 Vinyl — Belgrade (9.0"" x 5.5+1.5mm)",extract,spec_gap,wrote_flagged,"Oct 2026 list prints 6.5+1.5mm (8mm total, matching the series header) — this resolves the June-list thickness discrepancy in Salesperson notes, and implies an attached pad (Underpad included is blank live; the note says none mentioned). Product name still reads the June dimension. The sync writes only name/SKU/category/price/stock/promo on an update, so this spec change is in the upload CSV but will NOT reach Airtable unless a person applies it.",,95,,,
TRIFOREST,LVP-TRIF-TFSPC701-F,"Toucan SPC7 Vinyl — Bar Harbor (6.0"" x 5+2mm)",extract,spec_gap,wrote_flagged,"Oct 2026 list prints 6+2mm (8mm total, matching the series header) — this resolves the June-list thickness discrepancy in Salesperson notes, and implies an attached pad (Underpad included is blank live; the note says none mentioned). Product name still reads the June dimension. The sync writes only name/SKU/category/price/stock/promo on an update, so this spec change is in the upload CSV but will NOT reach Airtable unless a person applies it.",,96,,,
TRIFOREST,LVP-TRIF-TFSPC702-F,"Toucan SPC7 Vinyl — Stonington (6.0"" x 5+2mm)",extract,spec_gap,wrote_flagged,"Oct 2026 list prints 6+2mm (8mm total, matching the series header) — this resolves the June-list thickness discrepancy in Salesperson notes, and implies an attached pad (Underpad included is blank live; the note says none mentioned). Product name still reads the June dimension. The sync writes only name/SKU/category/price/stock/promo on an update, so this spec change is in the upload CSV but will NOT reach Airtable unless a person applies it.",,97,,,
TRIFOREST,LVP-TRIF-TFSPC703-F,"Toucan SPC7 Vinyl — Newcastle (6.0"" x 5+2mm)",extract,spec_gap,wrote_flagged,"Oct 2026 list prints 6+2mm (8mm total, matching the series header) — this resolves the June-list thickness discrepancy in Salesperson notes, and implies an attached pad (Underpad included is blank live; the note says none mentioned). Product name still reads the June dimension. The sync writes only name/SKU/category/price/stock/promo on an update, so this spec change is in the upload CSV but will NOT reach Airtable unless a person applies it.",,98,,,
TRIFOREST,LVP-TRIF-TFSPC704-F,"Toucan SPC7 Vinyl — Castine (6.0"" x 5+2mm)",extract,spec_gap,wrote_flagged,"Oct 2026 list prints 6+2mm (8mm total, matching the series header) — this resolves the June-list thickness discrepancy in Salesperson notes, and implies an attached pad (Underpad included is blank live; the note says none mentioned). Product name still reads the June dimension. The sync writes only name/SKU/category/price/stock/promo on an update, so this spec change is in the upload CSV but will NOT reach Airtable unless a person applies it.",,99,,,
TRIFOREST,LVP-TRIF-TFSPC705-F,"Toucan SPC7 Vinyl — Lubec (6.0"" x 5+2mm)",extract,spec_gap,wrote_flagged,"Oct 2026 list prints 6+2mm (8mm total, matching the series header) — this resolves the June-list thickness discrepancy in Salesperson notes, and implies an attached pad (Underpad included is blank live; the note says none mentioned). Product name still reads the June dimension. The sync writes only name/SKU/category/price/stock/promo on an update, so this spec change is in the upload CSV but will NOT reach Airtable unless a person applies it.",,100,,,
TRIFOREST,LVP-TRIF-TFSPC706-F,"Toucan SPC7 Vinyl — Camden (6.0"" x 5+2mm)",extract,spec_gap,wrote_flagged,"Oct 2026 list prints 6+2mm (8mm total, matching the series header) — this resolves the June-list thickness discrepancy in Salesperson notes, and implies an attached pad (Underpad included is blank live; the note says none mentioned). Product name still reads the June dimension. The sync writes only name/SKU/category/price/stock/promo on an update, so this spec change is in the upload CSV but will NOT reach Airtable unless a person applies it.",,101,,,
TRIFOREST,LVP-TRIF-TFSPC707-F,"Toucan SPC7 Vinyl — Cape Elizabeth (6.0"" x 5+2mm)",extract,spec_gap,wrote_flagged,"Oct 2026 list prints 6+2mm (8mm total, matching the series header) — this resolves the June-list thickness discrepancy in Salesperson notes, and implies an attached pad (Underpad included is blank live; the note says none mentioned). Product name still reads the June dimension. The sync writes only name/SKU/category/price/stock/promo on an update, so this spec change is in the upload CSV but will NOT reach Airtable unless a person applies it.",,102,,,
TRIFOREST,LVP-TRIF-TFSPC708-F,"Toucan SPC7 Vinyl — Kennebunkport (6.0"" x 5+2mm)",extract,spec_gap,wrote_flagged,"Oct 2026 list prints 6+2mm (8mm total, matching the series header) — this resolves the June-list thickness discrepancy in Salesperson notes, and implies an attached pad (Underpad included is blank live; the note says none mentioned). Product name still reads the June dimension. The sync writes only name/SKU/category/price/stock/promo on an update, so this spec change is in the upload CSV but will NOT reach Airtable unless a person applies it.",,103,,,
TRIFOREST,LVP-TRIF-TFSPC709-F,"Toucan SPC7 Vinyl — Revere (6.0"" x 5+2mm)",extract,spec_gap,wrote_flagged,"Oct 2026 list prints 6+2mm (8mm total, matching the series header) — this resolves the June-list thickness discrepancy in Salesperson notes, and implies an attached pad (Underpad included is blank live; the note says none mentioned). Product name still reads the June dimension. The sync writes only name/SKU/category/price/stock/promo on an update, so this spec change is in the upload CSV but will NOT reach Airtable unless a person applies it.",,104,,,
TRIFOREST,LVP-TRIF-TFSPC710-F,"Toucan SPC7 Vinyl — Oyster Bay (6.0"" x 5+2mm)",extract,spec_gap,wrote_flagged,"Oct 2026 list prints 6+2mm (8mm total, matching the series header) — this resolves the June-list thickness discrepancy in Salesperson notes, and implies an attached pad (Underpad included is blank live; the note says none mentioned). Product name still reads the June dimension. The sync writes only name/SKU/category/price/stock/promo on an update, so this spec change is in the upload CSV but will NOT reach Airtable unless a person applies it.",,105,,,
TRIFOREST,LVP-TRIF-TFCET1001-F,"Toucan CET10 Vinyl — Archon (9.0"" x 10.0mm)",extract,spec_gap,wrote_flagged,"Oct 2026 list prints CET10 as 22 mil wear layer; live Airtable says 20. The sync writes only name/SKU/category/price/stock/promo on an update, so this spec change is in the upload CSV but will NOT reach Airtable unless a person applies it.",,128,,,
TRIFOREST,LVP-TRIF-TFCET1002-F,"Toucan CET10 Vinyl — Ignis (9.0"" x 10.0mm)",extract,spec_gap,wrote_flagged,"Oct 2026 list prints CET10 as 22 mil wear layer; live Airtable says 20. The sync writes only name/SKU/category/price/stock/promo on an update, so this spec change is in the upload CSV but will NOT reach Airtable unless a person applies it.",,129,,,
TRIFOREST,LVP-TRIF-TFCET1003-F,"Toucan CET10 Vinyl — Forma (9.0"" x 10.0mm)",extract,spec_gap,wrote_flagged,"Oct 2026 list prints CET10 as 22 mil wear layer; live Airtable says 20. The sync writes only name/SKU/category/price/stock/promo on an update, so this spec change is in the upload CSV but will NOT reach Airtable unless a person applies it.",,130,,,
TRIFOREST,LVP-TRIF-TFCET1004-F,"Toucan CET10 Vinyl — Lumina (9.0"" x 10.0mm)",extract,spec_gap,wrote_flagged,"Oct 2026 list prints CET10 as 22 mil wear layer; live Airtable says 20. The sync writes only name/SKU/category/price/stock/promo on an update, so this spec change is in the upload CSV but will NOT reach Airtable unless a person applies it.",,131,,,
TRIFOREST,LVP-TRIF-TFCET1005-F,"Toucan CET10 Vinyl — Moda (9.0"" x 10.0mm)",extract,spec_gap,wrote_flagged,"Oct 2026 list prints CET10 as 22 mil wear layer; live Airtable says 20. The sync writes only name/SKU/category/price/stock/promo on an update, so this spec change is in the upload CSV but will NOT reach Airtable unless a person applies it.",,132,,,
TRIFOREST,LVP-TRIF-TFCET1006-F,"Toucan CET10 Vinyl — Altura (9.0"" x 10.0mm)",extract,spec_gap,wrote_flagged,"Oct 2026 list prints CET10 as 22 mil wear layer; live Airtable says 20. The sync writes only name/SKU/category/price/stock/promo on an update, so this spec change is in the upload CSV but will NOT reach Airtable unless a person applies it.",,133,,,
TRIFOREST,LVP-TRIF-TFCET1007-F,"Toucan CET10 Vinyl — Synrgy (9.0"" x 10.0mm)",extract,spec_gap,wrote_flagged,"Oct 2026 list prints CET10 as 22 mil wear layer; live Airtable says 20. The sync writes only name/SKU/category/price/stock/promo on an update, so this spec change is in the upload CSV but will NOT reach Airtable unless a person applies it.",,134,,,
TRIFOREST,LVP-TRIF-TFCET1008-F,"Toucan CET10 Vinyl — Linea (9.0"" x 10.0mm)",extract,spec_gap,wrote_flagged,"Oct 2026 list prints CET10 as 22 mil wear layer; live Airtable says 20. The sync writes only name/SKU/category/price/stock/promo on an update, so this spec change is in the upload CSV but will NOT reach Airtable unless a person applies it.",,135,,,
TRIFOREST,LVP-TRIF-TFCET1009-F,"Toucan CET10 Vinyl — Terra (9.0"" x 10.0mm)",extract,spec_gap,wrote_flagged,"Oct 2026 list prints CET10 as 22 mil wear layer; live Airtable says 20. The sync writes only name/SKU/category/price/stock/promo on an update, so this spec change is in the upload CSV but will NOT reach Airtable unless a person applies it.",,136,,,
TRIFOREST,LVP-TRIF-TFCET1010-F,"Toucan CET10 Vinyl — Ascend (9.0"" x 10.0mm)",extract,spec_gap,wrote_flagged,"Oct 2026 list prints CET10 as 22 mil wear layer; live Airtable says 20. The sync writes only name/SKU/category/price/stock/promo on an update, so this spec change is in the upload CSV but will NOT reach Airtable unless a person applies it.",,137,,,
TRIFOREST,LVP-TRIF-TFCET1011-F,"Toucan CET10 Vinyl — Madera (9.0"" x 10.0mm)",extract,spec_gap,wrote_flagged,"Oct 2026 list prints CET10 as 22 mil wear layer; live Airtable says 20. The sync writes only name/SKU/category/price/stock/promo on an update, so this spec change is in the upload CSV but will NOT reach Airtable unless a person applies it.",,138,,,
TRIFOREST,LVP-TRIF-TFCET1012-F,"Toucan CET10 Vinyl — Axios (9.0"" x 10.0mm)",extract,spec_gap,wrote_flagged,"Oct 2026 list prints CET10 as 22 mil wear layer; live Airtable says 20. The sync writes only name/SKU/category/price/stock/promo on an update, so this spec change is in the upload CSV but will NOT reach Airtable unless a person applies it.",,139,,,
TRIFOREST,LVP-TRIF-TFL605,"Toucan Looselay Vinyl — TFL605 (7.4"" x 5.0mm)",extract,spec_gap,wrote_flagged,"Oct 2026 list prints Looselay 60 as 7.5"" x 48.2"" (190 x 1224mm); live Width is 7.4 and the name says 7.4"". The sync writes only name/SKU/category/price/stock/promo on an update, so this spec change is in the upload CSV but will NOT reach Airtable unless a person applies it.",,140,,,
TRIFOREST,LVP-TRIF-TFL610,"Toucan Looselay Vinyl — TFL610 (7.4"" x 5.0mm)",extract,spec_gap,wrote_flagged,"Oct 2026 list prints Looselay 60 as 7.5"" x 48.2"" (190 x 1224mm); live Width is 7.4 and the name says 7.4"". The sync writes only name/SKU/category/price/stock/promo on an update, so this spec change is in the upload CSV but will NOT reach Airtable unless a person applies it.",,141,,,
TRIFOREST,ENG-TRIF-TCN101,"Toucan Studio Engineered White Oak — Oyster (6.5"" x 18.0mm)",extract,spec_gap,wrote_flagged,"Oct 2026 list prints Studio as '2mm Top Layer · European White Oak · Light Wire Brushed · Character Grade'; live Species is American White Oak, Grade blank (the Jan list and the skill said American). The sync writes only name/SKU/category/price/stock/promo on an update, so this spec change is in the upload CSV but will NOT reach Airtable unless a person applies it.",,150,,,
TRIFOREST,ENG-TRIF-TCN102,"Toucan Studio Engineered White Oak — Tusk (6.5"" x 18.0mm)",extract,spec_gap,wrote_flagged,"Oct 2026 list prints Studio as '2mm Top Layer · European White Oak · Light Wire Brushed · Character Grade'; live Species is American White Oak, Grade blank (the Jan list and the skill said American). The sync writes only name/SKU/category/price/stock/promo on an update, so this spec change is in the upload CSV but will NOT reach Airtable unless a person applies it.",,151,,,
TRIFOREST,ENG-TRIF-TCN103,"Toucan Studio Engineered White Oak — Sable (6.5"" x 18.0mm)",extract,spec_gap,wrote_flagged,"Oct 2026 list prints Studio as '2mm Top Layer · European White Oak · Light Wire Brushed · Character Grade'; live Species is American White Oak, Grade blank (the Jan list and the skill said American). The sync writes only name/SKU/category/price/stock/promo on an update, so this spec change is in the upload CSV but will NOT reach Airtable unless a person applies it.",,152,,,
TRIFOREST,ENG-TRIF-TCN104,"Toucan Studio Engineered White Oak — Woodland (6.5"" x 18.0mm)",extract,spec_gap,wrote_flagged,"Oct 2026 list prints Studio as '2mm Top Layer · European White Oak · Light Wire Brushed · Character Grade'; live Species is American White Oak, Grade blank (the Jan list and the skill said American). The sync writes only name/SKU/category/price/stock/promo on an update, so this spec change is in the upload CSV but will NOT reach Airtable unless a person applies it.",,153,,,
TRIFOREST,ENG-TRIF-TCN105,"Toucan Studio Engineered White Oak — Sky (6.5"" x 18.0mm)",extract,spec_gap,wrote_flagged,"Oct 2026 list prints Studio as '2mm Top Layer · European White Oak · Light Wire Brushed · Character Grade'; live Species is American White Oak, Grade blank (the Jan list and the skill said American). The sync writes only name/SKU/category/price/stock/promo on an update, so this spec change is in the upload CSV but will NOT reach Airtable unless a person applies it.",,154,,,
TRIFOREST,ENG-TRIF-TCN106,"Toucan Studio Engineered White Oak — Shadow (6.5"" x 18.0mm)",extract,spec_gap,wrote_flagged,"Oct 2026 list prints Studio as '2mm Top Layer · European White Oak · Light Wire Brushed · Character Grade'; live Species is American White Oak, Grade blank (the Jan list and the skill said American). The sync writes only name/SKU/category/price/stock/promo on an update, so this spec change is in the upload CSV but will NOT reach Airtable unless a person applies it.",,155,,,
TRIFOREST,LAM-TRIF-FL202,"Toucan FL2 Waterproof Laminate — FL202 (7.7"" x 12.3mm)",extract,absent_from_list,held,"Not printed on the Oct 1 2026 list (live 1.29/2.29, last price update 2026-01-19). Nothing written; deactivate or keep is a person's call.",,,,,
TRIFOREST,LAM-TRIF-FL204,"Toucan FL2 Waterproof Laminate — FL204 (7.7"" x 12.3mm)",extract,absent_from_list,held,"Not printed on the Oct 1 2026 list (live 1.29/2.29, last price update 2026-01-19). Nothing written; deactivate or keep is a person's call.",,,,,
TRIFOREST,LAM-TRIF-FL210,"Toucan FL2 Waterproof Laminate — FL210 (7.7"" x 12.3mm)",extract,absent_from_list,held,"Not printed on the Oct 1 2026 list (live 1.29/2.29, last price update 2026-01-19). Nothing written; deactivate or keep is a person's call.",,,,,
TRIFOREST,LAM-TRIF-FL212,"Toucan FL2 Waterproof Laminate — FL212 (7.7"" x 12.3mm)",extract,absent_from_list,held,"Not printed on the Oct 1 2026 list (live 1.29/2.29, last price update 2026-01-19). Nothing written; deactivate or keep is a person's call.",,,,,
TRIFOREST,LAM-TRIF-TF8001,"Toucan TF80 Luxury Waterproof Laminate — TF8001 (7.7"" x 12.3mm)",extract,absent_from_list,held,"Not printed on the Oct 1 2026 list (live 1.79/2.79, last price update 2026-01-19). Nothing written; deactivate or keep is a person's call.",,,,,
TRIFOREST,LAM-TRIF-TF8005,"Toucan TF80 Luxury Waterproof Laminate — TF8005 (7.7"" x 12.3mm)",extract,absent_from_list,held,"Not printed on the Oct 1 2026 list (live 1.59/2.59, last price update 2026-06-15). Nothing written; deactivate or keep is a person's call.",,,,,
TRIFOREST,LAM-TRIF-TF8006,"Toucan TF80 Luxury Waterproof Laminate — TF8006 (7.7"" x 12.3mm)",extract,absent_from_list,held,"Not printed on the Oct 1 2026 list (live 1.79/2.79, last price update 2026-01-19). Nothing written; deactivate or keep is a person's call.",,,,,
TRIFOREST,LAM-TRIF-TF8007,"Toucan TF80 Luxury Waterproof Laminate — TF8007 (7.7"" x 12.3mm)",extract,absent_from_list,held,"Not printed on the Oct 1 2026 list (live 1.79/2.79, last price update 2026-01-19). Nothing written; deactivate or keep is a person's call.",,,,,
TRIFOREST,LVP-TRIF-TFSPC307-F,"Toucan SPC3 Vinyl — TFSPC307-F (7.2"" x 4.2mm)",extract,absent_from_list,held,"Not printed on the Oct 1 2026 list (live 1.29/2.29, last price update 2026-01-19). Nothing written; deactivate or keep is a person's call.",,,,,
TRIFOREST,LVP-TRIF-TFSPC402-F,"Toucan SPC4 Vinyl — TFSPC402-F (9.0"" x 7.0mm)",extract,absent_from_list,held,"Not printed on the Oct 1 2026 list (live 1.75/2.75, last price update 2026-01-19). Nothing written; deactivate or keep is a person's call.",,,,,
TRIFOREST,LVP-TRIF-TFSPC405-F,"Toucan SPC4 Vinyl — TFSPC405-F (9.0"" x 7.0mm)",extract,absent_from_list,held,"Not printed on the Oct 1 2026 list (live 1.75/2.75, last price update 2026-01-19). Nothing written; deactivate or keep is a person's call.",,,,,
TRIFOREST,LVP-TRIF-TFSPC409-F,"Toucan SPC4 Vinyl — TFSPC409-F (9.0"" x 7.0mm)",extract,absent_from_list,held,"Not printed on the Oct 1 2026 list (live 1.75/2.75, last price update 2026-01-19). Nothing written; deactivate or keep is a person's call.",,,,,
TRIFOREST,LVP-TRIF-TFSPC410-F,"Toucan SPC4 Vinyl — TFSPC410-F (9.0"" x 7.0mm)",extract,absent_from_list,held,"Not printed on the Oct 1 2026 list (live 1.75/2.75, last price update 2026-01-19). Nothing written; deactivate or keep is a person's call.",,,,,
